learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.0001,6,,41400,414,6210,1.613051766216727,,1.5990661000913096
0.0001,13,,41400,414,4554,1.600864599613219,,1.5990661000913096
0.0001,20,,41400,414,3726,1.5983859588229299,,1.5990661000913096
0.001,6,,41400,414,1656,1.6107094297537825,,1.5990661000913096
0.001,13,,41400,414,1242,1.6165021644986741,,1.5990661000913096
0.001,20,,41400,414,1242,1.605750691691815,,1.5990661000913096
