treeNum,rawAccuracy,prunedAccuracy,nullAccuracy
1,0.9501779359430605,0.9537366548042705,0.6548042704626335
2,0.9390681003584229,0.942652329749104,0.6559139784946236
3,0.9679715302491103,0.9537366548042705,0.6548042704626335
4,0.931899641577061,0.9283154121863799,0.6559139784946236
5,0.9501779359430605,0.9537366548042705,0.6548042704626335
6,0.9498207885304659,0.946236559139785,0.6559139784946236
7,0.9074733096085409,0.9181494661921709,0.6548042704626335
8,0.942652329749104,0.942652329749104,0.6559139784946236
9,0.9572953736654805,0.9466192170818505,0.6548042704626335
10,0.9032258064516129,0.9354838709677419,0.6559139784946236
