learningRate,hiddenLayerSize1,hiddenLayerSize2,max_iterations,check_increment,iterationsToTrain,networkLoss,hit_rate,null_model
0.001,2,2,334200,3342,6684,0.9998405065075349,,0.9994015559545376
0.001,2,4,334200,3342,6684,1.0004763947518323,,0.9994015559545376
0.001,2,9,334200,3342,6684,0.9999755355234818,,0.9994015559545376
0.001,2,18,334200,3342,6684,0.9994663100797089,,0.9994015559545376
0.001,4,2,334200,3342,6684,0.9994031475663593,,0.9994015559545376
0.001,4,4,334200,3342,6684,1.001245086981265,,0.9994015559545376
0.001,4,9,334200,3342,6684,0.9997865045999247,,0.9994015559545376
0.001,4,18,334200,3342,6684,1.0023369164759772,,0.9994015559545376
0.001,9,2,334200,3342,6684,0.9999023186860452,,0.9994015559545376
0.001,9,4,334200,3342,6684,1.0000102999260698,,0.9994015559545376
0.001,9,9,334200,3342,6684,1.0003055792260005,,0.9994015559545376
0.001,9,18,334200,3342,6684,1.0046149243173557,,0.9994015559545376
0.001,18,2,334200,3342,6684,0.999415584519983,,0.9994015559545376
0.001,18,4,334200,3342,6684,0.9995783348520444,,0.9994015559545376
0.001,18,9,334200,3342,6684,1.0012840417076452,,0.9994015559545376
0.001,18,18,334200,3342,6684,0.9994820238503501,,0.9994015559545376
